Trace
Swept SA
A.03.08,N9010A
1749989154.67134,-67.9207021639999
1749989204.67134,-69.9160691717622
1749989254.67134,-68.7134972953136
1749989304.67134,-66.5507026152403
1749989354.67134,-64.1501458609958
1749989404.67134,-65.5270256202482
1749989454.67134,-63.8489294125116
1749989504.67134,-66.1860317663078
1749989554.67134,-65.682985090279
1749989604.67134,-62.1761845943068
1749989654.67134,-62.4567591829619
1749989704.67134,-63.9360830272245
1749989754.67134,-69.3174581769191
1749989804.67134,-64.174609453072
1749989854.67134,-63.6723273508682
1749989904.67134,-65.3626554853186
1749989954.67134,-63.9727789641763
1749990004.67134,-63.9727789641763
1749990054.67134,-65.4673930043173
1749990104.67134,-69.8824293739628
1749990154.67134,-66.1737986504461
1749990204.67134,-66.290768318307
1749990254.67134,-64.8122088387885
1749990304.67134,-67.9726868855336
1749990354.67134,-65.4964437387894
1749990404.67134,-67.1821849007221
1749990454.67134,-65.0109806795601
1749990504.67134,-66.3351094054683
1749990554.67134,-63.2029179636673
1749990604.67134,-66.3374027087813
